"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","clean","uncommon"
"MWAM -  Ben Carson's Different Take on Race  - Asked about racial strife in America, this prominent, groundbreaking… http://t.co/dV0E6Rd3GG",FALSE,0,NA,2015-10-03 19:03:04,FALSE,NA,"A650385596255375360",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","PairsonnalitesE",0,FALSE,FALSE,"-80.20185547","25.7231361","mwam   ben carsons different take on race   asked about racial strife in america this prominent groundbreaking ","mwam   ben carsons different take race   asked racial strife america prominent groundbreaking"
"MWAM -  Ben Carson's Different Take on Race  - Asked about racial strife in America, this prominent, groundbreaking… http://t.co/DSqV37iwtc",FALSE,0,NA,2015-10-03 19:02:40,FALSE,NA,"A650385494497345536",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","pairsonnalitesB",0,FALSE,FALSE,"-80.20185547","25.7231361","mwam   ben carsons different take on race   asked about racial strife in america this prominent groundbreaking ","mwam   ben carsons different take race   asked racial strife america prominent groundbreaking"
"MWAM -  Ben Carson's Different Take on Race  - Asked about racial strife in America, this prominent, groundbreaking… http://t.co/si9143PgZ6",FALSE,0,NA,2015-10-03 19:02:34,FALSE,NA,"A650385470661103616",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Pairsonnalites",0,FALSE,FALSE,"-80.20185547","25.7231361","mwam   ben carsons different take on race   asked about racial strife in america this prominent groundbreaking ","mwam   ben carsons different take race   asked racial strife america prominent groundbreaking"
"I am a Christian @DailyMail: @RealBenCarson leads #IAmAChristian response 2 Oregon massacre http://t.co/gcj3k10TK7 http://t.co/qE8cQZ8s86""",FALSE,0,NA,2015-10-03 17:02:52,FALSE,NA,"A650355349124448256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RKMCPHERSON2014",0,FALSE,FALSE,"-73.6172772","40.6798972","i am a christian dailymail realbencarson leads iamachristian response 2 oregon massacre ","christian dailymail realbencarson leads iamachristian response 2 oregon massacre"
"Ben Carson in New Orleans. Fitting. http://t.co/IH0qQVJ4xw",FALSE,1,NA,2015-10-03 16:18:42,FALSE,NA,"A650344231844745216",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","ali",0,FALSE,FALSE,"-90.118765","29.933727","ben carson in new orleans fitting ","ben carson new orleans fitting"
"RT @peakwriter: Carson leads chorus of Christians declaring faith after shooting http://t.co/oKaRkngxir via @MailOnline",FALSE,0,NA,2015-10-03 13:05:10,FALSE,NA,"A650295527062568960",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DarTell",1,TRUE,FALSE,NA,NA,"rt peakwriter carson leads chorus of christians declaring faith after shooting ","rt peakwriter carson leads chorus christians declaring faith shooting"
"Carson leads chorus of Christians declaring faith after shooting http://t.co/oKaRkngxir via @MailOnline",FALSE,1,NA,2015-10-03 13:01:48,FALSE,NA,"A650294679842390017",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","peakwriter",1,FALSE,FALSE,"-104.83515194","38.87137997","carson leads chorus of christians declaring faith after shooting ","carson leads chorus christians declaring faith shooting"
"Carson: You can't believe in God and evolution.   http://t.co/wwqQWec7wf",FALSE,0,NA,2015-10-03 03:44:30,FALSE,NA,"A650154430298521600",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","AnOldLefty",0,FALSE,FALSE,"-82.93781208","39.96396396","carson you cant believe in god and evolution   ","carson cant believe god evolution  "
"Sellout Ben Carson makes a tasteless joke about police brutality: http://t.co/m6bU1hMHC3",FALSE,0,NA,2015-10-03 02:24:07,FALSE,NA,"A650134204303474689",NA,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for Android</a>","MadamSophie88",0,FALSE,FALSE,"-84.229236","33.798289","sellout ben carson makes a tasteless joke about police brutality ","sellout ben carson makes tasteless joke police brutality"
"http://t.co/XfGaKIUGwy I am a Christian and I fight against Islam Sharia Law and to Ban Islam from USA",FALSE,0,NA,2015-10-03 02:02:36,FALSE,NA,"A650128788181774336",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","tinimarty8",0,FALSE,FALSE,"-87.91859969","41.96320809","",""
"Ben Carson Honors Oregon Shooting Victims In Facebook Post: Republican presidential candidate Ben Carson is… http://t.co/wPsyXnEGwq",FALSE,0,NA,2015-10-03 01:31:04,FALSE,NA,"A650120852684472320",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","BaltimoreCP",0,FALSE,FALSE,"-76.6155346","39.30190319","ben carson honors oregon shooting victims in facebook post republican presidential candidate ben carson is ","ben carson honors oregon shooting victims facebook post republican presidential candidate ben carson"
"Carson Sunday's @ The University of Kansas https://t.co/bONikxStbg",FALSE,0,NA,2015-10-04 23:49:09,FALSE,NA,"A650819979487637504",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","john_pauldine",0,FALSE,FALSE,"-95.2484131","38.9583092","carson sundays  the university of kansas ","carson sundays  university kansas"
"'Downton Abbey' recap: Downton, you're breaking my heart http://t.co/TZcnrbb767",FALSE,0,NA,2015-10-04 23:30:04,FALSE,NA,"A650815177198170113",NA,"<a href=""http://mi360.massiveimpressions.com"" rel=""nofollow"">MI360</a>","ClickWhisperer",0,FALSE,FALSE,"-80.069251","26.350777","downton abbey recap downton youre breaking my heart ","downton abbey recap downton youre breaking heart"
"Cuz it's #NationalTacoDay (@ Top Shelf Tacos in Carson, Calif) https://t.co/zcJYk01JgD",FALSE,0,NA,2015-10-04 23:23:44,FALSE,NA,"A650813583102734336",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","Gone2DLand",0,FALSE,FALSE,"-118.26472497","33.8114906","cuz its nationaltacoday  top shelf tacos in carson calif ","cuz nationaltacoday  top shelf tacos carson calif"
"All I care about right now at this point ...  #DoinMe @ Carson, California https://t.co/hpquIWX3Ck",FALSE,0,NA,2015-10-04 23:23:00,FALSE,NA,"A650813397110497281",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","RUGibsonBarnes",0,FALSE,FALSE,"-118.26","33.8397","all i care about right now at this point   doinme  carson california ","care right now point   doinme  carson california"
"at least you dont have to pay for a safari to eat pork lion meat!#pork #butcher #carson #socal #lion… https://t.co/KhKDQrcmvN",FALSE,0,NA,2015-10-04 22:01:45,FALSE,NA,"A650792952667574272",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","devilishrumble",0,FALSE,FALSE,"-118.27699492","33.82689457","at least you dont have to pay for a safari to eat pork lion meatpork butcher carson socal lion ","least dont pay safari eat pork lion meatpork butcher carson socal lion"
"Carson &amp; Witney Forever!
Engagement: 10/2/15<ed><U+00A0><U+00BD><ed><U+00B2><U+008D> Love is special and you want to be loved by your… https://t.co/sESSEi2f03",FALSE,1,NA,2015-10-04 21:41:30,FALSE,NA,"A650787857066541057",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","06kmg2000",0,FALSE,FALSE,"-122.332294","47.609669","carson amp witney foreverengagement 10215 love is special and you want to be loved by your ","carson amp witney foreverengagement 10215 love special want loved"
"Just posted a photo @ Carson Mall https://t.co/Y2zBoDrp8o",FALSE,0,NA,2015-10-04 20:52:30,FALSE,NA,"A650775525200257024",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BiggWeeezy",0,FALSE,FALSE,"-118.2619629","33.8441315","just posted a photo  carson mall ","just posted photo  carson mall"
"Happy Birthday  Benjie! @ Carson, California https://t.co/mWknmBoBVa",FALSE,0,NA,2015-10-04 20:44:29,FALSE,NA,"A650773505559040000",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","garryprado",0,FALSE,FALSE,"-118.26","33.8397","happy birthday  benjie  carson california ","happy birthday  benjie  carson california"
"So me @ Carson 90745 https://t.co/jmSwTfVXhA",FALSE,0,NA,2015-10-04 20:14:09,FALSE,NA,"A650765873318363136",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","lilbit3022",0,FALSE,FALSE,"-118.24485825","33.83249878","so me  carson 90745 "," carson 90745"
"RT @bruhimpatrick: Carson's bio. <ed><U+00A0><U+00BD><ed><U+00B9><U+008C>",FALSE,0,NA,2015-10-04 20:00:50,FALSE,NA,"A650762523172577281",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CarsonBrand3",1,TRUE,FALSE,NA,NA,"rt bruhimpatrick carsons bio ","rt bruhimpatrick carsons bio"
"Love my Lexie <ed><U+00A0><U+00BD><ed><U+00B2><U+009A> @ Goodyear Ballpark https://t.co/ljh6qzQr0u",FALSE,0,NA,2015-10-04 19:36:00,FALSE,NA,"A650756273714032640",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","carson_coronado",0,FALSE,FALSE,"-112.39023331","33.42903885","love my lexie   goodyear ballpark ","love lexie   goodyear ballpark"
"My sons first game. His team didn't win but did a great job! @ Carson, California https://t.co/9Skgz093zk",FALSE,0,NA,2015-10-04 19:24:35,FALSE,NA,"A650753399881924608",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LunaKbby",0,FALSE,FALSE,"-118.26","33.8397","my sons first game his team didnt win but did a great job  carson california ","sons first game team didnt win great job  carson california"
"I'm at @StubHubCenter in Carson, CA w/ @omartz2 https://t.co/WM8Z4TJAyz",FALSE,0,NA,2015-10-04 18:40:43,FALSE,NA,"A650742360897396736",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","osvaphoto",0,FALSE,FALSE,"-118.26159954","33.8638589","im at stubhubcenter in carson ca w omartz2 ","im stubhubcenter carson ca w omartz2"
"Preolimpico de CONCACAF 2015 (at @StubHubCenter in Carson, CA) https://t.co/7hNvvVNz39",FALSE,0,NA,2015-10-04 18:20:43,FALSE,NA,"A650737327652925442",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","omartz2",0,FALSE,FALSE,"-118.26159954","33.8638589","preolimpico de concacaf 2015 at stubhubcenter in carson ca ","preolimpico de concacaf 2015 stubhubcenter carson ca"
"Alpaca sounds.  #taoswoolfestival #makers #alpaca @ Kit Carson Park https://t.co/y5aCmdqblA",FALSE,0,NA,2015-10-04 18:14:27,FALSE,NA,"A650735750997106692",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LoriLynnBarker",0,FALSE,FALSE,"-105.5714035","36.4094009","alpaca sounds  taoswoolfestival makers alpaca  kit carson park ","alpaca sounds  taoswoolfestival makers alpaca  kit carson park"
"Rough surf. Storm's coming. @ Carson Beach https://t.co/gvunlJV2nY",FALSE,0,NA,2015-10-04 17:55:52,FALSE,NA,"A650731071777177600",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","CorreiaMark",0,FALSE,FALSE,"-71.04789073","42.32528436","rough surf storms coming  carson beach ","rough surf storms coming  carson beach"
"This happening right now. #makers #taoswoolfestival @ Kit Carson Park https://t.co/AR6Vmj9msC",FALSE,0,NA,2015-10-04 17:29:30,FALSE,NA,"A650724437076013056",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","LoriLynnBarker",0,FALSE,FALSE,"-105.5714035","36.4094009","this happening right now makers taoswoolfestival  kit carson park ","happening right now makers taoswoolfestival  kit carson park"
"carson_bacha Great shot! #thehurricanedifference @ Laytonsville Golf Course https://t.co/aLK0lUTxov",FALSE,0,NA,2015-10-04 17:25:08,FALSE,NA,"A650723338617094145",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","HJGT",0,FALSE,FALSE,"-77.14380129","39.19695198","carsonbacha great shot thehurricanedifference  laytonsville golf course ","carsonbacha great shot thehurricanedifference  laytonsville golf course"
"Hotline Bling shalaia_4real <ed><U+00A0><U+00BD><ed><U+00B2><U+008B> @ The Flats on Carson https://t.co/8KaEScNhll",FALSE,0,NA,2015-10-04 17:17:04,FALSE,NA,"A650721307357614080",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","CNBBRAND",0,FALSE,FALSE,"-79.9832993","40.4286804","hotline bling shalaia4real   the flats on carson ","hotline bling shalaia4real   flats carson"
"RT @HannahLee73: <ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0089><ed><U+00A0><U+00BC><ed><U+00BE><U+0089> http://t.co/dYVyJfQN0o",FALSE,0,NA,2015-10-04 16:25:22,FALSE,NA,"A650708298723823616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","carson_54",4,TRUE,FALSE,NA,NA,"rt hannahlee73  ","rt hannahlee73 "
"aye @ The Flats on Carson https://t.co/VswKBUBL9A",FALSE,0,NA,2015-10-04 16:08:07,FALSE,NA,"A650703958902620160",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","dj_Bamboo",0,FALSE,FALSE,"-79.9832993","40.4286804","aye  the flats on carson ","aye  flats carson"
"<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> @ Dana Carson Kingdom Ministries https://t.co/f5rg77zC0O",FALSE,0,NA,2015-10-04 16:02:34,FALSE,NA,"A650702560274157568",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","eneverson21",0,FALSE,FALSE,"-95.24849552","29.64095486","  dana carson kingdom ministries ","  dana carson kingdom ministries"
"They be turned up every Sunday <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BD> @ Dana Carson Kingdom Ministries https://t.co/pQxR20AxH5",FALSE,0,NA,2015-10-04 15:46:54,FALSE,NA,"A650698619150987264",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","eneverson21",0,FALSE,FALSE,"-95.24849552","29.64095486","they be turned up every sunday   dana carson kingdom ministries ","turned every sunday   dana carson kingdom ministries"
"Advanced Excel Experience - Kelly Services: (#Carson, CA) http://t.co/Svd4mlokbN #Hospitality #KellyJobs #KellyServices #Job #Jobs #Hiring",FALSE,0,NA,2015-10-04 15:39:35,FALSE,NA,"A650696778279350272",NA,"<a href=""http://www.tweetmyjobs.com"" rel=""nofollow"">TweetMyJOBS</a>","tmj_ca_hrta",0,FALSE,FALSE,"-118.2234229","33.8113701","advanced excel experience  kelly services carson ca ","advanced excel experience  kelly services carson ca"
"#AllMyLadies #MomAuntCousins #HawaiiBound @ Carson, California https://t.co/23opaFTSWL",FALSE,0,NA,2015-10-04 15:08:47,FALSE,NA,"A650689023573405697",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","Mr_DPrince",0,FALSE,FALSE,"-118.26","33.8397","allmyladies momauntcousins hawaiibound  carson california ","allmyladies momauntcousins hawaiibound  carson california"
"Frank Sinatra is Surprised by Don Rickles on Johnny Carson's Show, Funniest Moment http://t.co/cozmtew9Pc",FALSE,0,NA,2015-10-04 14:58:28,FALSE,NA,"A650686428922421248",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","CarolynDee13",0,FALSE,FALSE,"-74.228541","40.846263","frank sinatra is surprised by don rickles on johnny carsons show funniest moment ","frank sinatra surprised don rickles johnny carsons show funniest moment"
"Carson's first LSU game #EMUVSLSU #geauxtigers @ Tiger Stadium https://t.co/GIHy7hqjlV",FALSE,0,NA,2015-10-04 14:36:15,FALSE,NA,"A650680839601299456",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","NolaFain",0,FALSE,FALSE,"-91.18414642","30.41212223","carsons first lsu game emuvslsu geauxtigers  tiger stadium ","carsons first lsu game emuvslsu geauxtigers  tiger stadium"
"#weezylosophy #biggerisbetter #beentheredonethat #bornagainafterbornagain @ Carson, California https://t.co/TPqAVYV6dC",FALSE,0,NA,2015-10-04 13:49:11,FALSE,NA,"A650668994626613248",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","BiggWeeezy",0,FALSE,FALSE,"-118.26","33.8397","weezylosophy biggerisbetter beentheredonethat bornagainafterbornagain  carson california ","weezylosophy biggerisbetter beentheredonethat bornagainafterbornagain  carson california"
"A 2013 Chrysler 300 was just scanned near Fort Carson, CO 80902 http://t.co/Pa268hmek6 #vinnyapp #1millionscans",FALSE,0,NA,2015-10-04 12:18:53,FALSE,NA,"A650646269778624512",NA,"<a href=""http://myvinny.com"" rel=""nofollow"">Vinny Scans</a>","Vinny_Scans",0,FALSE,FALSE,"-104.8","38.74","a 2013 chrysler 300 was just scanned near fort carson co 80902 ","2013 chrysler 300 just scanned near fort carson co 80902"
"RT @aleetboxing: @shanemosley_ signing autographs at tonight's #MatthyssePostol bout in Carson #Boxing #Boxeo @… https://t.co/WWoSpm2jjb",FALSE,0,NA,2015-10-04 11:01:45,FALSE,NA,"A650626855561728000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","offthecanvas0",2,TRUE,FALSE,NA,NA,"rt aleetboxing shanemosley signing autographs at tonights matthyssepostol bout in carson boxing boxeo  ","rt aleetboxing shanemosley signing autographs tonights matthyssepostol bout carson boxing boxeo "
"Checked-in @ CoGo's 925 East Carson Street https://t.co/dmv5cAh1s4",FALSE,0,NA,2015-10-04 10:08:50,FALSE,NA,"A650613540135546880",NA,"<a href=""http://co-gos.com"" rel=""nofollow"">CoGo's</a>","mykittymater",0,FALSE,FALSE,"-79.9843868","40.4301827","checkedin  cogos 925 east carson street ","checkedin  cogos 925 east carson street"
"RT @aleetboxing: @shanemosley_ signing autographs at tonight's #MatthyssePostol bout in Carson #Boxing #Boxeo @… https://t.co/WWoSpm2jjb",FALSE,0,NA,2015-10-04 06:25:58,FALSE,NA,"A650557456054157312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ThePassoGarage",2,TRUE,FALSE,NA,NA,"rt aleetboxing shanemosley signing autographs at tonights matthyssepostol bout in carson boxing boxeo  ","rt aleetboxing shanemosley signing autographs tonights matthyssepostol bout carson boxing boxeo "
"@shanemosley_ signing autographs at tonight's #MatthyssePostol bout in Carson #Boxing #Boxeo @… https://t.co/WWoSpm2jjb",FALSE,7,"ShaneMosley_",2015-10-04 05:50:11,FALSE,NA,"A650548449922813952","A52174408","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","aleetboxing",2,FALSE,FALSE,"-118.26142676","33.86386967","shanemosley signing autographs at tonights matthyssepostol bout in carson boxing boxeo  ","shanemosley signing autographs tonights matthyssepostol bout carson boxing boxeo "
"RT @vasyllomachenko: <U+0410><U+041A><U+041A><U+0415><U+0420><U+041C><U+0410><U+041D><U+0421><U+041A><U+0418><U+0415> <U+041F><U+0410><U+0420><U+041D><U+0418><ed><U+00A0><U+00BD><ed><U+00B8><U+008E><U+0432> <U+0410><U+041C><U+0415><U+0420><U+0418><U+041A><U+0415> @ Carson, California https://t.co/pXLMsbLel4",FALSE,0,NA,2015-10-04 05:23:00,FALSE,NA,"A650541607150833664",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kovalenkoppua",1,TRUE,FALSE,NA,NA,"rt vasyllomachenko     carson california ","rt vasyllomachenko     carson california"
"Dj jewy jew debut @ Twelve on Carson https://t.co/6JomTVHvIW",FALSE,0,NA,2015-10-04 05:16:24,FALSE,NA,"A650539949020872704",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","realchadsimon",0,FALSE,FALSE,"-79.9856415","40.4286423","dj jewy jew debut  twelve on carson ","dj jewy jew debut  twelve carson"
"Crispy chicken skins! @ Carson Kitchen https://t.co/SOpRQnJrAI",FALSE,0,NA,2015-10-04 05:09:47,FALSE,NA,"A650538281810178049",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","lbyutuc",0,FALSE,FALSE,"-115.1404724","36.1679497","crispy chicken skins  carson kitchen ","crispy chicken skins  carson kitchen"
"<U+0410><U+041A><U+041A><U+0415><U+0420><U+041C><U+0410><U+041D><U+0421><U+041A><U+0418><U+0415> <U+041F><U+0410><U+0420><U+041D><U+0418><ed><U+00A0><U+00BD><ed><U+00B8><U+008E><U+0432> <U+0410><U+041C><U+0415><U+0420><U+0418><U+041A><U+0415> @ Carson, California https://t.co/pXLMsbLel4",FALSE,16,NA,2015-10-04 05:09:14,FALSE,NA,"A650538144996139008",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","vasyllomachenko",1,FALSE,FALSE,"-118.26","33.8397","    carson california ","    carson california"
"I'm at Pieology in Carson, CA https://t.co/a9xDPuV5ow",FALSE,0,NA,2015-10-04 05:01:02,FALSE,NA,"A650536080773640192",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","guti_james",0,FALSE,FALSE,"-118.26266938","33.84481526","im at pieology in carson ca ","im pieology carson ca"
"Trying something new @ Carson Kitchen https://t.co/vdNpbKgNN5",FALSE,0,NA,2015-10-04 04:42:19,FALSE,NA,"A650531371568525312",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","lbyutuc",0,FALSE,FALSE,"-115.1404724","36.1679497","trying something new  carson kitchen ","trying something new  carson kitchen"
"This makes life so much easier <ed><U+00A0><U+00BD><ed><U+00B8><U+00A5> #Protein @ 24 Hour Fitness - Carson Sport https://t.co/Yfw08ZBG9v",FALSE,0,NA,2015-10-04 04:23:57,FALSE,NA,"A650526747738312708",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","JasonDaProtein",0,FALSE,FALSE,"-118.2585422","33.84098928","this makes life so much easier  protein  24 hour fitness  carson sport ","makes life much easier  protein  24 hour fitness  carson sport"
"Con esta guapura de hombre! #GoldenBoy #OscarDeLaHoya #Carson #California #boxing @ Stubhub Center… https://t.co/JOmxNzXIPv",FALSE,0,NA,2015-10-04 03:37:04,FALSE,NA,"A650514948003659776",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","lizmachuca",0,FALSE,FALSE,"-118.26114385","33.86269781","con esta guapura de hombre goldenboy oscardelahoya carson california boxing  stubhub center ","con esta guapura de hombre goldenboy oscardelahoya carson california boxing  stubhub center"
