"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","clean","uncommon"
"Chris Christie: Granting D.C. statehood won't 'help' Congress run any better: New Jersey Gov. Chris Christie left… http://t.co/m061nDmwiR",FALSE,0,NA,2015-10-12 19:59:04,FALSE,NA,"A653661182180487168",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","WashingtonCP",0,FALSE,FALSE,"-77.03733586","38.90181532","chris christie granting dc statehood wont help congress run any better new jersey gov chris christie left ","chris christie granting dc statehood wont help congress run better new jersey gov chris christie left"
"Do you agree? &gt;&gt; New Jersey Gov. Chris Christie weighs in on Chase Utley: He's a dog http://t.co/lwQi373yOZ",FALSE,0,NA,2015-10-12 15:07:13,FALSE,NA,"A653587731918929920",NA,"<a href=""http://www.apple.com/"" rel=""nofollow"">OS X</a>","RobHopwood",0,FALSE,FALSE,"-116.521389","33.823346","do you agree gtgt new jersey gov chris christie weighs in on chase utley hes a dog ","agree gtgt new jersey gov chris christie weighs chase utley hes dog"
"Gov. Christie, you need to look at your transit system after major sporting events. I thought the Super Bowl... https://t.co/VDMH4qnPEa",FALSE,0,NA,2015-10-12 06:31:44,FALSE,NA,"A653458009700610048",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","music_wine_jw",0,FALSE,FALSE,"-73.93010371","40.66353832","gov christie you need to look at your transit system after major sporting events i thought the super bowl ","gov christie need look transit system major sporting events thought super bowl"
"Chris Christie Says He Doesn't Really Think About Statehood for DC: Republican presidential candidate Chris… http://t.co/fP7ghQz05k",FALSE,0,NA,2015-10-12 21:37:12,FALSE,NA,"A653685877642661888",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","WashingtonCP",0,FALSE,FALSE,"-77.03733586","38.90181532","chris christie says he doesnt really think about statehood for dc republican presidential candidate chris ","chris christie says doesnt really think statehood dc republican presidential candidate chris"
"Chris Christie on D.C. Statehood: ¯\_(<U+30C4>)_/¯: Taking questions from the crowd at a bipartisan event in New Hampshire… http://t.co/OzRLYrxoOq",FALSE,0,NA,2015-10-12 19:11:03,FALSE,NA,"A653649096247410688",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","WashingtonCP",0,FALSE,FALSE,"-77.03733586","38.90181532","chris christie on dc statehood  taking questions from the crowd at a bipartisan event in new hampshire ","chris christie dc statehood  taking questions crowd bipartisan event new hampshire"
": Get the facts #madizm #tapthatash  #Arizona #newjersey and especially #candidates thank you #doctor #itheals... http://t.co/eXr5a9U0cL""",FALSE,1,NA,2015-10-10 14:57:39,FALSE,NA,"A652860550502744064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kimdraughan",0,FALSE,FALSE,"-112.0675936","33.3933745"," get the facts madizm tapthatash  arizona newjersey and especially candidates thank you doctor itheals "," get facts madizm tapthatash  arizona newjersey especially candidates thank doctor itheals"
"The Pledge of Allegiance was written in 1892. Were we still ""founding"" us 100+ years later? Are we found? WHAT?  http://t.co/9aCvgZU6sm",FALSE,0,NA,2015-10-12 23:08:08,FALSE,NA,"A653708758615490560",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","CamelotK",0,FALSE,FALSE,"-86.772622","34.06948","the pledge of allegiance was written in 1892 were we still ""founding"" us 100+ years later are we found what  ","pledge allegiance written 1892 still ""founding"" us 100+ years later found "
"RT @roughtradeX: omg we're screwd RT @Libertea2012: Ben Carson Wants 2 Know Where Gravity Comes From http://t.co/OzHJFs6QIZ #UniteBlue http…",FALSE,0,NA,2015-10-12 22:54:22,FALSE,NA,"A653705296406167552",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Abimi_Sola",1,TRUE,FALSE,NA,NA,"rt roughtradex omg were screwd rt libertea2012 ben carson wants 2 know where gravity comes from ","rt roughtradex omg screwd rt libertea2012 ben carson wants 2 know gravity comes"
"If I act really crazy, can I be UM Dean? Aides Find Ben Carson’s Inflammatory Remarks Are Helping Him, via @nytimes http://t.co/H1JF3nveaY",FALSE,1,NA,2015-10-12 22:47:37,FALSE,NA,"A653703596291280896",NA,"<a href=""http://www.apple.com"" rel=""nofollow"">iOS</a>","Tom_J_Giordano",0,FALSE,FALSE,"-83.828921","42.254279","if i act really crazy can i be um dean aides find ben carsons inflammatory remarks are helping him via nytimes ","act really crazy can um dean aides find ben carsons inflammatory remarks helping via nytimes"
"@Mattfobrien @DinobotPrime I praise Jews who fought. Ben Carson thinks armed families could have prevented holocaust. That's Bullshit.",FALSE,0,"Mattfobrien",2015-10-12 21:28:48,FALSE,"A653682816065142788","A653683760920174592","A898824396","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ericgorall",0,FALSE,FALSE,"-75.68532463","45.4048918","mattfobrien dinobotprime i praise jews who fought ben carson thinks armed families could have prevented holocaust thats bullshit","mattfobrien dinobotprime praise jews fought ben carson thinks armed families prevented holocaust thats bullshit"
